Проект,Категории,Цена,Заявки
Название для магазинов головных уборов и аксессуаров,"<a class=""text-muted"" href=""/jobs/?category_id=86"">Нейминг/Слоганы</a>",$40,112 заявок
Требуется специалист по контекстной рекламе Google Adwords,"<a class=""text-muted"" href=""/jobs/?category_id=88"">Контекстная реклама</a>",None,11 заявок
Ищу копирайтера для написания и размещения статей на сайте,"<a class=""text-muted"" href=""/jobs/?category_id=45"">Новости/Статьи/Обзоры</a>",$150,47 заявок
Заказ №778735,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,7 заявок
Написать авторегистратор аккаунтов Instagram,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$600,7 заявок
Доработка и дальнейшее обслуживание сайта lascala.ua,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,8 заявок
ActionScript разработчик,"<a class=""text-muted"" href=""/jobs/?category_id=26"">Разработка игр</a>",None,4 заявки
Веб-программист на полную занятость,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$1000,6 заявок
Дизайн визиток для онлайн-конструктора,"<a class=""text-muted"" href=""/jobs/?category_id=18"">Дизайн продукции</a>",$39,69 заявок
Сделать 20 роликов в игре GTA5,"<a class=""text-muted"" href=""/jobs/?category_id=41"">Видеомонтаж</a>",$150,15 заявок
Заказ №777263,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$1000,11 заявок
"Художник, персонажы и фоны для мультиков","<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",None,30 заявок
Плагин под WP + Woocommerce,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",$300,12 заявок
Авторы учебных студенческих работ,"<a class=""text-muted"" href=""/jobs/?category_id=47"">Дипломы/Курсовые/Рефераты</a>",$1000,188 заявок
Перенос базы (Excel) и логики(VB in Excel) в Postgres и web int Python,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Модератор на сайт техники электроники мобильных телефонов,"<a class=""text-muted"" href=""/jobs/?category_id=56"">Служба поддержки</a>",None,142 заявки
Сделать под ключ bootstrap-шаблон портала (галереи) android-приложений,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,14 заявок
2D-аниматор для создания мультиков,"<a class=""text-muted"" href=""/jobs/?category_id=39"">Анимация</a>",$400,29 заявок
PHP/MySQL программист на постоянную работу.,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,38 заявок
Рисунки в общем стиле витрин для 2-х магазинов .,"<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",None,None
Почистить VPS От шелов (рассылка спама),"<a class=""text-muted"" href=""/jobs/?category_id=54"">Системное администрирование</a>",None,2 заявки
Нужно прочитать текст на камеру,"<a class=""text-muted"" href=""/jobs/?category_id=42"">Озвучивание</a>",None,89 заявок
