Проект,Категории,Цена,Заявки
Название для магазинов головных уборов и аксессуаров,Нейминг/Слоганы,$40,117 заявок
Требуется специалист по контекстной рекламе Google Adwords,Контекстная реклама,None,11 заявок
Ищу копирайтера для написания и размещения статей на сайте,Новости/Статьи/Обзоры,$150,47 заявок
Заказ №778735,Поисковые системы (SEO),None,7 заявок
Написать авторегистратор аккаунтов Instagram,Веб-программирование,$600,7 заявок
Доработка и дальнейшее обслуживание сайта lascala.ua,Веб-программирование,None,8 заявок
ActionScript разработчик,Разработка игр,None,4 заявки
Веб-программист на полную занятость,Веб-программирование,$1000,6 заявок
Дизайн визиток для онлайн-конструктора,Дизайн продукции,$39,69 заявок
Сделать 20 роликов в игре GTA5,Видеомонтаж,$150,15 заявок
Заказ №777263,Веб-программирование,$1000,11 заявок
"Художник, персонажы и фоны для мультиков",Иллюстрации/Рисунки,None,30 заявок
Плагин под WP + Woocommerce,Системы управления (CMS),$300,12 заявок
Авторы учебных студенческих работ,Дипломы/Курсовые/Рефераты,$1000,188 заявок
Перенос базы (Excel) и логики(VB in Excel) в Postgres и web int Python,Веб-программирование,None,3 заявки
Модератор на сайт техники электроники мобильных телефонов,Служба поддержки,None,144 заявки
Сделать под ключ bootstrap-шаблон портала (галереи) android-приложений,HTML-верстка,None,14 заявок
2D-аниматор для создания мультиков,Анимация,$400,29 заявок
PHP/MySQL программист на постоянную работу.,Веб-программирование,None,38 заявок
Рисунки в общем стиле витрин для 2-х магазинов .,Иллюстрации/Рисунки,None,None
Доработка сайта OpenCart,Системы управления (CMS),$150,1 заявка
Разработка адаптивного сайта (дизайна),Дизайн сайтов,None,5 заявок
Доработка проекта на CodeIgniter,Веб-программирование,None,нет заявок
Написать soap запросы по обращению к БД.,Веб-программирование,None,нет заявок
Бот анализ сайтов,Веб-программирование,None,1 заявка
Требуется СЕО Гуру.,Поисковые системы (SEO),None,нет заявок
Создать несложный сайт на вордпресс,Сайты «под ключ»,$40,3 заявки
Доработать галерею на joomla.,Системы управления (CMS),None,4 заявки
Наполнение сайта,Наполнение сайтов,None,нет заявок
Диктор муж.,Озвучивание,None,8 заявок
Создание сайта - одностраничника (лендинг),Сайты «под ключ»,None,7 заявок
Конструктор wapclick лендингов,Веб-программирование,None,нет заявок
Поправить JS-скрипт,Веб-программирование,$25,4 заявки
Дизайн лендинга по макету,Дизайн сайтов,$15,8 заявок
Android приложение для кафе/ресторанов,ПО для мобильных устройств,None,1 заявка
Нужно оформить отзывы по типу личной переписки в Вконтакте,Социальные сети (SMM/SMO),None,9 заявок
Нужна помощь по API  интеграции,Веб-программирование,None,11 заявок
"Заполнение части свойств в товаре, не заходя в каждую карточку товара.",Наполнение сайтов,$4000,10 заявок
Сделать сайт компании с личным кабинетом,Сайты «под ключ»,None,4 заявки
Не приходят формы на почту с сайта,Веб-программирование,None,3 заявки
Написать модуль для Opencart которые считывает заголовок Host,Веб-программирование,None,нет заявок
Построение штатного расписание,Бухгалтерские услуги,None,нет заявок
Верстка админ. панели сервиса комментариев на semantic-ui,HTML-верстка,None,3 заявки
"Статья для сайта ""Продажа нижнего белья"" 3000 зн.",Новости/Статьи/Обзоры,None,4 заявки
"Дизайн экстерьера ""булочной""",Интерьеры/Экстерьеры,None,7 заявок
Парсер адалт тубов,Системы управления (CMS),$100,2 заявки
Нанести на фото информацию о товаре,Фотография (обработка),None,43 заявки
Сделать сайт на opencart,Интернет-магазины,None,5 заявок
Требуется таргетолог-директолог,Контекстная реклама,None,3 заявки
Написание отзывов на сайтах о работодателях,Копирайтинг/Рерайтинг,None,14 заявок
Немного переделать сайт wordpress,Системы управления (CMS),$35,4 заявки
Видеоролик,Видеомонтаж,None,7 заявок
Доработка и обслуживание сайта,Веб-программирование,None,нет заявок
Фильтр по тегам в Webassyst [php],Веб-программирование,None,1 заявка
Исправить ошибку на страничке отзывов в shop-script 309,Веб-программирование,None,3 заявки
Аудит сайта с последующей консультацией по внутренней СЕО-оптимизации,Поисковые системы (SEO),None,4 заявки
Хак для DLE предпросмотр трейлеров,Веб-программирование,$5,1 заявка
Нужно натянуто верстку шаблона на opencart,HTML-верстка,None,1 заявка
Ландшафтный дизайн дачного участка,Ландшафтный дизайн,None,6 заявок
Адаптивная верстка таблицы расписания. Wordpress,Системы управления (CMS),None,нет заявок
Создание проекта МЛМ,Веб-программирование,None,4 заявки
Верстка и натяжка сайта на wordpress,HTML-верстка,None,12 заявок
Требуется Битрикс программист для доработки сайта,Веб-программирование,None,3 заявки
Перевод видео с французского на русский,Переводы,None,2 заявки
Нарисовать логотип/иконку для сайта,Пиксел-арт/Иконки,None,13 заявок
Создать дизайн карточки водителя для сайта,Дизайн продукции,None,1 заявка
Написать сайт с админкой,Веб-программирование,None,2 заявки
Внести мелкие правки на Битрикс,Веб-программирование,None,None
Доделать портал на YII,Веб-программирование,None,2 заявки
На базе nethouse сделать интернет магазин,Сайты «под ключ»,None,4 заявки
Настроить рекламу в Google Adwords,Контекстная реклама,None,6 заявок
"Создание сайта проката авто.Интересный и сложный, долгий проект",Сайты «под ключ»,None,5 заявок
Нарисовать фон как в вацапе,Пиксел-арт/Иконки,None,None
Выпарсить данные с semrush,Веб-программирование,None,7 заявок
Доработки по сайту Opencart 1.5.5.1.2,Системы управления (CMS),None,8 заявок
Плагин обновления остатков и цен (внесены дополнения)!,Веб-программирование,None,12 заявок
Доработка приложения,ПО для мобильных устройств,None,3 заявки
Проектирование сервиса,Веб-программирование,None,4 заявки
Написать функцию получения информации о ролике YouTube,Веб-программирование,$35,6 заявок
Требуется переводчик на польский язык,Переводы,None,7 заявок
API FB словить callback,Веб-программирование,None,1 заявка
Программист C++/Qt,Веб-программирование,None,нет заявок
Нужен копирайтер,Копирайтинг/Рерайтинг,None,34 заявки
Дизайн наших проектов (долгосрочно),Дизайн сайтов,None,20 заявок
История загрузки страниц сайта,Веб-программирование,None,2 заявки
Доработать плагин вопрос-ответ на WordPress,Веб-программирование,None,3 заявки
Курсовая. Бухгалтерский учет.,Дипломы/Курсовые/Рефераты,None,5 заявок
Скопировать сайт с битрикса на modx/,Веб-программирование,None,1 заявка
Активировать кнопку шорткода на странице.,Веб-программирование,None,4 заявки
Написать должностные инструкции и методические указания для компании,Дипломы/Курсовые/Рефераты,$150,5 заявок
Настроить редиректы nginx,Веб-программирование,None,6 заявок
Исправить ошибку в магазине на joomla.,Системы управления (CMS),$4,4 заявки
Создать дизайн внутренней страницы согласно имеющегося шаблона,Дизайн сайтов,None,15 заявок
Сделать дизайн сайта для производителя пищевых продуктов,Дизайн сайтов,$190,29 заявок
Полностью функционирующий одностраничный сайт.,Сайты «под ключ»,None,10 заявок
Составление тестов для подготовки к ЕГЭ по ряду предметов,Дипломы/Курсовые/Рефераты,$20,10 заявок
Написать 5 статей по финансовой грамотности и разместить на joomla,Копирайтинг/Рерайтинг,None,None
"Бюджетный дизайн интерьера, для магазина женской одежды.",Интерьеры/Экстерьеры,None,17 заявок
Дизайн футболки,Дизайн продукции,$20,7 заявок
3d рендеринг и создание презентации,3D-графика,None,10 заявок
Добавление товаров в Интернет-магазин спортивной экипировки,Наполнение сайтов,None,9 заявок
Настроить VPN+TOR,Системное администрирование,None,2 заявки
Настройка Goip Hybertone и роутера,Системное администрирование,None,2 заявки
Создание логотипа,Знаки/Логотипы,None,None
Движок для сайта турагентсва,Веб-программирование,None,4 заявки
Создание нового дизайна сайта,Дизайн сайтов,None,20 заявок
Сайт под ключ для типографии,Сайты «под ключ»,$4500,20 заявок
Нужен обзвон по Базе контактов,Служба поддержки,None,7 заявок
Программирование на qt,Веб-программирование,None,нет заявок
Доработка 1С с интеграцией в веб ресурс,1С-программирование,None,3 заявки
Статья на главную,Копирайтинг/Рерайтинг,$20,14 заявок
Написание текста для страницы каталога интернет-магазина,Копирайтинг/Рерайтинг,None,9 заявок
Несложная работа для дизайнера,Дизайн сайтов,None,15 заявок
Доработать сайт для мобильных устройств (кроссбраузерная верстка),HTML-верстка,None,6 заявок
Редизайн сайта,Дизайн сайтов,None,8 заявок
Доработка сайта на вордпрессе,Веб-программирование,None,7 заявок
Создание макета категории cs-cart,Системы управления (CMS),None,нет заявок
Эскиз в кривых,Иллюстрации/Рисунки,None,9 заявок
Доработка плагина на CMS LiveStreet,Веб-программирование,None,нет заявок
"Требуется рерайтинг. Рерайтинг новости по теме авто, космос.",Копирайтинг/Рерайтинг,None,23 заявки
Дизайн страниц вебсайта,Дизайн мобильных приложений,None,8 заявок
Кроссбраузерность и адаптация сайта для мобильных устройств,Системы управления (CMS),None,3 заявки
"Текст для сайта на английском, производство химических продуктов.",Копирайтинг/Рерайтинг,None,2 заявки
Нужен парсер товаров hostcms,Веб-программирование,None,7 заявок
Разработка/Копирование сайта,Веб-программирование,$75,4 заявки
Дизайн для приложения-викторины,Дизайн мобильных приложений,None,4 заявки
Создание сайта агентства недвижимости,Веб-программирование,$200,9 заявок
Поисковые системы,Поисковые системы (SEO),None,5 заявок
